,GENRE,FILM_ID
2489,Animation,1064
2490,Action,1064
2491,Family,1064
2492,Action,1065
2493,Adventure,1065
2494,Fantasy,1065
2495,Documentary,1066
2496,Documentary,1067
2497,Action,1068
2498,Comedy,1068
2499,Thriller,1068
2500,Drama,1069
2501,Thriller,1069
2502,Game-Show,1070
2503,Reality-TV,1070
2504,Documentary,1071
2505,Drama,1072
2506,Horror,1072
2507,Sci-Fi,1072
2508,Action,1073
2509,Mystery,1073
2510,Sci-Fi,1073
2511,Action,1074
2512,Adventure,1074
2513,Comedy,1074
2514,Comedy,1075
2515,Romance,1075
2516,Comedy,1076
2517,Crime,1076
2518,Fantasy,1076
2519,Action,1077
2520,Adventure,1077
2521,Comedy,1077
2522,Action,1078
2523,Adventure,1078
2524,Thriller,1078
2525,Action,1079
2526,Adventure,1079
2527,Sci-Fi,1079
2528,Crime,1080
2529,Drama,1080
2530,Action,1081
2531,Drama,1081
2532,Fantasy,1081
2533,Action,1082
2534,Sport,1082
2535,Action,1083
2536,Adventure,1083
2537,Comedy,1083
2538,Short,1084
2539,Drama,1084
2540,Action,1085
2541,Crime,1085
2542,Thriller,1085
2543,Short,1086
2544,Drama,1086
2545,Action,1087
2546,Crime,1087
2547,Thriller,1087
2548,Action,1088
2549,Adventure,1088
2550,Fantasy,1088
2551,Action,1089
2552,Crime,1089
2553,Drama,1089
2554,Drama,1090
2555,Sport,1090
2556,Action,1091
2557,Crime,1091
2558,Mystery,1091
2559,Animation,1092
2560,Adventure,1092
2561,Comedy,1092
2562,Action,1093
2563,Adventure,1093
2564,Comedy,1093
2565,Animation,1094
2566,Action,1094
2567,Adventure,1094
2568,Action,1095
2569,Drama,1095
2570,Sport,1095
2571,Short,1096
2572,Action,1096
2573,Comedy,1097
2574,Crime,1097
2575,Drama,1097
2576,Short,1098
2577,Comedy,1098
2578,Short,1099
2579,Action,1099
2580,Short,1100
2581,Romance,1100
2582,Action,1101
2583,Adventure,1101
2584,Thriller,1101
2585,Comedy,1102
2586,Drama,1102
2587,Sport,1102
2588,Comedy,1103
2589,Music,1103
2590,Action,1104
2591,Thriller,1104
2592,Action,1105
2593,Crime,1105
2594,Thriller,1105
2595,Action,1106
2596,Adventure,1106
2597,Thriller,1106
2598,Short,1107
2599,Action,1107
2600,Comedy,1108
2601,Family,1108
2602,Fantasy,1108
2603,Action,1109
2604,Adventure,1109
2605,Thriller,1109
2606,Short,1110
2607,Action,1110
2608,Action,1111
2609,Comedy,1111
2610,Romance,1111
2611,Short,1112
2612,Action,1112
2613,Action,1113
2614,Adventure,1113
2615,Thriller,1113
2616,Short,1114
2617,Short,1115
2618,Comedy,1115
2619,Sport,1115
2620,Action,1116
2621,Drama,1116
2622,Sport,1116
2623,Crime,1117
2624,Drama,1117
2625,Action,1118
2626,Adventure,1118
2627,Comedy,1118
2628,Crime,1119
2629,Thriller,1119
2630,Action,1120
2631,Comedy,1120
2632,Crime,1120
2633,Animation,1121
2634,Adventure,1121
2635,Drama,1121
2636,Action,1122
2637,Comedy,1122
2638,Crime,1122
2639,Crime,1123
2640,Thriller,1123
2641,Action,1124
2642,Drama,1124
2643,Sport,1124
2644,Action,1125
2645,Crime,1125
2646,Drama,1125
2647,Short,1126
2648,Action,1126
2649,Adventure,1126
2650,Animation,1127
2651,Adventure,1127
2652,Comedy,1127
2653,Comedy,1128
2654,Crime,1128
2655,Comedy,1129
2656,Crime,1130
2657,Drama,1130
2658,Thriller,1130
2659,Action,1131
2660,Adventure,1131
2661,Drama,1131
2662,Action,1132
2663,Crime,1132
2664,Thriller,1132
2665,Action,1133
2666,Crime,1133
2667,Sci-Fi,1133
2668,Comedy,1134
2669,Short,1134
2670,Action,1135
2671,Drama,1135
2672,Thriller,1135
2673,Action,1136
2674,Crime,1136
2675,Sci-Fi,1136
2676,Action,1137
2677,Sci-Fi,1137
2678,Thriller,1137
2679,Action,1138
2680,Adventure,1138
2681,Thriller,1138
2682,Action,1139
2683,Comedy,1139
2684,Comedy,1140
2685,Comedy,1141
2686,Crime,1141
2687,Drama,1142
2688,Sport,1142
2689,Action,1143
2690,Comedy,1143
2691,Crime,1143
2692,Action,1144
2693,Crime,1144
2694,Drama,1144
2695,Action,1145
2696,Adventure,1145
2697,Thriller,1145
2698,Short,1146
2699,Music,1146
2700,Action,1147
2701,Drama,1147
2702,Sport,1147
2703,Action,1148
2704,Crime,1148
2705,Thriller,1148
2706,Drama,1149
2707,Sport,1149
2708,Action,1150
2709,Adventure,1150
2710,Thriller,1150
2711,Comedy,1151
2712,Music,1151
2713,Drama,1152
2714,Music,1152
2715,Romance,1152
2716,Action,1153
2717,Adventure,1153
