,FILM_NAME,FILM_YEAR,RATING,FILM_LINK,ACTOR_ID
157,Insomnia - Schlaflos,2002,7.2,https://www.imdb.com/title/tt0278504/?ref_=nm_flmg_i_31_act,1
158,Chinese Coffee,2000,7.1,https://www.imdb.com/title/tt0118852/?ref_=nm_flmg_i_32_act,1
159,An jedem verdammten Sonntag,1999,6.9,https://www.imdb.com/title/tt0146838/?ref_=nm_flmg_i_33_act,1
160,Insider,1999,7.8,https://www.imdb.com/title/tt0140352/?ref_=nm_flmg_i_34_act,1
161,Im Auftrag des Teufels,1997,7.5,https://www.imdb.com/title/tt0118971/?ref_=nm_flmg_i_35_act,1
162,Donnie Brasco,1997,7.7,https://www.imdb.com/title/tt0119008/?ref_=nm_flmg_i_36_act,1
163,City Hall,1996,6.2,https://www.imdb.com/title/tt0115907/?ref_=nm_flmg_i_37_act,1
164,Heat,1995,8.3,https://www.imdb.com/title/tt0113277/?ref_=nm_flmg_i_38_act,1
165,Two Bits,1995,6.2,https://www.imdb.com/title/tt0114753/?ref_=nm_flmg_i_39_act,1
166,Carlito's Way,1993,7.9,https://www.imdb.com/title/tt0106519/?ref_=nm_flmg_i_40_act,1
167,Der Duft der Frauen,1992,8.0,https://www.imdb.com/title/tt0105323/?ref_=nm_flmg_i_41_act,1
168,Glengarry Glen Ross,1992,7.7,https://www.imdb.com/title/tt0104348/?ref_=nm_flmg_i_42_act,1
169,Frankie und Johnny,1991,6.7,https://www.imdb.com/title/tt0101912/?ref_=nm_flmg_i_43_act,1
170,Der Pate 3,1990,7.6,https://www.imdb.com/title/tt0099674/?ref_=nm_flmg_i_44_act,1
171,Dick Tracy,1990,6.2,https://www.imdb.com/title/tt0099422/?ref_=nm_flmg_i_45_act,1
172,The Local Stigmatic,1990,5.7,https://www.imdb.com/title/tt0097769/?ref_=nm_flmg_i_46_act,1
173,Sea of Love - Melodie des Todes,1989,6.8,https://www.imdb.com/title/tt0098273/?ref_=nm_flmg_i_47_act,1
174,Revolution,1985,5.3,https://www.imdb.com/title/tt0089913/?ref_=nm_flmg_i_48_act,1
175,"Scarface: Toni, das Narbengesicht",1983,8.3,https://www.imdb.com/title/tt0086250/?ref_=nm_flmg_i_49_act,1
176,Daddy! Daddy! Fünf Nervensägen und ein Vater,1982,6.1,https://www.imdb.com/title/tt0083598/?ref_=nm_flmg_i_50_act,1
177,Cruising,1980,6.5,https://www.imdb.com/title/tt0080569/?ref_=nm_flmg_i_51_act,1
