,ACTOR_ID,AWARD_NAME,YEAR,OUTCOME,DESCRIPTION,FILM
6667,40,Satellite Awards,2002,Nominee - Golden Satellite Award,"Best Performance by an Actor in a Motion Picture, Drama",Memento (2000)
6668,40,Screen Actors Guild Awards,2012,Nominee - Actor,Outstanding Performance by a Male Actor in a Television Movie or Miniseries,Mildred Pierce (2011)
6669,40,Screen Actors Guild Awards,2011,Winner - Actor,Outstanding Performance by a Cast in a Motion Picture,The King's Speech (2010)
6670,40,Screen Actors Guild Awards,1998,Nominee - Actor,Outstanding Performance by a Cast,L.A. Confidential (1997)
6671,40,Seoul International Drama Awards,2014,Nominee - Individual Award,Best Actor,Jack Irish: Dead Point (2014)
6672,40,Sichuan TV Festival,2015,Nominee - Gold Panda,Best Performance by an Actor in a Mini-Series or Motion Picture Made for Television,Jack Irish (2016)
6673,40,The Equity Ensemble Awards,2013,Nominee - The Equity Award,Outstanding Performance by an Ensemble in a Mini-series or Telemovie,Jack Irish: Bad Debts (2012)
6674,41,"Academy Awards, USA",2022,Winner - Honorary Award,"Ceremony date: March 25th, 202",
6675,41,"Academy Awards, USA",1995,Nominee - Oscar,Best Actor in a Supporting Role,Pulp Fiction (1994)
6676,41,Primetime Emmy Awards,2009,Nominee - Primetime Emmy,Outstanding Animated Program (For Programming One Hour or More),Afro Samurai: Resurrection (2009)
6677,41,BAFTA Awards,1995,Winner - BAFTA Film Award,Best Actor in a Supporting Role,Pulp Fiction (1994)
6678,41,20/20 Awards,2015,Winner - Felix,Best Supporting Actor,Pulp Fiction (1994)
6679,41,AARP Movies for Grownups Awards,2007,Nominee - Movies for Grownups Award,Best Actor,Freedomland (2006)
6680,41,AARP Movies for Grownups Awards,2003,Nominee - Movies for Grownups Award,Best Actor,Changing Lanes (2002)
6681,41,"Academy of Science Fiction, Fantasy & Horror Films, USA",2016,Nominee - Saturn Award,Best Actor,The Hateful Eight (2015)
6682,41,"Academy of Science Fiction, Fantasy & Horror Films, USA",2015,Nominee - Saturn Award,Best Supporting Actor,Captain America: The Winter Soldier (2014)
6683,41,Acapulco Black Film Festival,2014,Nominee - Hollywood Award,Best Supporting Actor,Oldboy (2013)
6684,41,Acapulco Black Film Festival,1999,Winner - Career Achievement Award,,
6685,41,Acapulco Black Film Festival,1999,Nominee - Black Film Award,Best Actor,The Negotiator (1998)
6686,41,Acapulco Black Film Festival,1998,Winner - Black Film Award,Best Actor,Eve's Bayou (1997)
6687,41,All Def Movie Awards,2016,Nominee - All Def Movie Award,Best Bad Mu#&a Award,Django Unchained (2012)
6688,41,Alliance of Women Film Journalists,2022,Nominee - EDA Special Mention Award,Most Egregious Age Difference Between the Leading Man and the Love Interest,Hitman's Wife's Bodyguard (2021)
6689,41,Annie Awards,2005,Nominee - Annie,Voice Acting in an Animated Feature Production,The Incredibles (2004)
6690,41,Awards Circuit Community Awards,2015,Nominee - ACCA,Best Cast Ensemble,The Hateful Eight (2015)
6691,41,Awards Circuit Community Awards,1994,Winner - ACCA,Best Actor in a Supporting Role,Pulp Fiction (1994)
6692,41,Awards Circuit Community Awards,1994,Winner - ACCA,Best Cast Ensemble,Pulp Fiction (1994)
6693,41,BAFTA/LA Britannia Awards,2016,Winner - Britannia Award,Albert R. Broccoli Britannia Award for Worldwide Contribution to Entertainmen,
6694,41,Bambi Awards,2006,Winner - Bambi,Film - International,Snakes on a Plane (2006)
6695,41,Berlin International Film Festival,1998,Winner - Silver Berlin Bear,Best Actor,Jackie Brown (1997)
6696,41,BET Awards,2016,Winner - BET Award,Lifetime Achievement Awar,
6697,41,BET Awards,2013,Nominee - BET Award,Best Actor,Django Unchained (2012)
6698,41,BET Awards,2009,Nominee - BET Award,Best Actor,Soul Men (2008)
6699,41,BET Awards,2005,Nominee - BET Award,Best Actor,The Incredibles (2004)
6700,41,BET Awards,2004,Nominee - BET Award,Best Actor,S.W.A.T. (2003)
6701,41,BET Awards,2003,Nominee - BET Award,Best Actor,xXx (2002)
6702,41,BET Awards,2001,Nominee - BET Award,Best Actor,Rules of Engagement (2000)
6703,41,BET Comedy Awards,2005,Winner - BET Comedy Award,Best Performance in an Animated Theatrical Film,The Incredibles (2004)
6704,41,Black Movie Awards,2005,Nominee - Black Movie Award,Outstanding Performance by an Actor in a Leading Role,Coach Carter (2005)
6705,41,Black Reel Awards,2019,Nominee - Black Reel,Outstanding Voice Performance,Incredibles 2 (2018)
6706,41,Black Reel Awards,2016,Nominee - Black Reel,"Outstanding Actor, Motion Picture",The Hateful Eight (2015)
6707,41,Black Reel Awards,2014,Winner - Black Reel,Outstanding Voice Performance,Turbo (2013)
6708,41,Black Reel Awards,2013,Winner - Black Reel,Best Supporting Actor,Django Unchained (2012)
6709,41,Black Reel Awards,2012,Nominee - Black Reel,"Outstanding Television or Mini-Series Performance, Male",The Sunset Limited (2011)
6710,41,Black Reel Awards,2011,Nominee - Black Reel,Best Supporting Actor,Mother and Child (2009)
6711,41,Black Reel Awards,2006,Nominee - Black Reel,Best Actor,Coach Carter (2005)
6712,41,Black Reel Awards,2003,Nominee - Black Reel,Theatrical - Best Actor,Changing Lanes (2002)
